company_name,ceo_name,phone,website,corporate_number,status,research_notes
（公社）沖縄県宅地建物取引業協会,渡久地 政彦,098-861-3402,http://okinawa-takken.com/,5360005000087,✅確認済,出典: http://okinawa-takken.com/about/ (research_sourcesより confirmed)
(有) 建水 | 水彩工房浦添店,宮城 嗣尚,098-879-2578,http://www.kensui-okinawa.jp/,,✅確認済,出典: https://crsjapan.org/kensui.html / https://hapisumu.jp/company/49621/
（有）オーエン,大城昇,0078-60159-781783,https://goohome.jp/fudousan/realtor/273/,4360002008927,✅確認済,"出典: https://info.gbiz.go.jp/hojin/ichiran?hojinBango=4360002008927 (gBizINFO 有限会社オーエン), https://baseconnect.in/companies/dbb32925-99fd-486b-8a11-be059d6d9136"
(有)たましろ建設,玉城弘一,098-992-3728,https://tsukulink.net/,6360002009196,✅確認済,出典: https://info.gbiz.go.jp/hojin/ichiran?hojinBango=6360002009196 (Gビズインフォ)
㈲リフォーム施工,國吉惠康,098-988-3343,http://www.reform-sekoh.co.jp/,3360002017680,✅確認済,出典: https://www.reform-sekoh.co.jp/about-us (公式サイト会社概要) 複数企業情報DBにて確認
（有）一銀サービス,玉城秀也,0120-886-441,http://www.ichigin.co.jp/,4360002000371,✅確認済,"出典: 不動産ジャパン https://www.fudousan.or.jp/property/agency/detail?id=a00f3aa97a6c4d47, myhome.nifty.com, goohome.jp 等複数の宅建業者情報DBで代表者として確認"
(有)大栄土建,大城由香,098-994-6921,https://www.kensetumap.com/,9360002009177,✅確認済,出典: https://info.gbiz.go.jp/hojin/ichiran?hojinBango=9360002009177 (Gビズインフォ)
(有)昭和住建,玉城臣一,098-876-1343,https://www.kensetumap.com/,9360002015984,✅確認済,"出典: https://baseconnect.in/companies/15da44f5-8f4d-48e0-9cfe-d3ed1acee7c5 (Baseconnect), https://tsukulink.net/okinawa/city_472085/76912 (ツクリンク)"
(有)沖塗工業,比嘉章博,098-988-1707,https://tsukulink.net/,1360002015356,✅確認済,出典: https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1360002015356 (Gビズインフォ)
（有）沖縄タカラ住設,根路銘 安也,098-877-1314,http://www.otj.co.jp/company/,8360002015201,✅確認済,出典: http://www.otj.co.jp/company/greeting.html
（有）第一リフォーム沖縄 中部営業所,友寄隆治,098-983-4212,https://www.daiichireform.com/,6360001036976,✅確認済,出典: https://www.biz.ne.jp/corporation/20134/ (比較ビズ 会社概要) および https://www.daiichireform.com/company/
(株) LINK'S,横山 純,098-988-8071,https://links-kk-okinawa.jp/,,✅確認済,"[2026-07-10] AIリサーチ結果:
【公式サイト】https://links-kk-okinawa.jp/ | 【ceo_name】出典：https://links-kk-okinawa.jp/company「代表取締役 横山 純」 | 【founding_date】出典：https://links-kk-okinawa.jp/company「2005年：個人事業主として創業」（月不明） | 【established_date】出典：https://links-kk-okinawa.jp/company「2010年：株式会社 LINK'S設立」（月不明） | 【SNS・求人サイトリンク】サイト全ページを確認したがSNSリンク・求人サイトリンク一切なし | 【own_recruit_url】/recruitは404 | 【revenue】出典：https://links-kk-okinawa.jp/company「2022年：売上高20億達成」 | 【employees】サイト内に記載なし"
(株) ホーム２１,玉城和広,098-833-8855,https://home21.co.jp/,2360001002610,✅確認済,出典: https://home21.co.jp/company/ (会社概要ページで代表取締役：玉城和広 確認)
